Col.,Row,Wood Type ,Clone,Along lean dia (mm),Across lean dia (mm),Green AV (km/s),Green mass (grms),Green vol. (grms),Green   LD     (mm),Green curve (mm),Remarks,Dry AV (km/s),Dry mass (grms),Dry vol. (grms),Dry LD     (mm),Dry curve (mm),,Moisture content (%),Green density (kg/m3),Dry density (kg/m3),Basic density (kg/m3),Green MOE (Gpa),Dry MOE (Gpa),Lon. Shr. (%),Vol. shr. (%),,,Green av,Dry Av,Moisture content (%),Green density (kg/m3),Dry density (kg/m3),Basic density (kg/m3),Green MOE (Gpa),Dry MOE (Gpa),Lon. Shr. (%),Vol. shr. (%)
B,4,N,12,39,33.7,1.36,20.12,19.07,7.19,9.13,,2.96,6.65,16.4,5.63,8.94,,203,1055,405,349,1.95,3.55,1.45,14.00,
B,5,N,45,40.1,39.3,1.26,23.17,22.4,8.38,6.31,,2.7,7.65,19.63,7.29,7.94,,203,1034,390,342,1.64,2.84,1.17,12.37,
B,6,N,41,40.8,41.9,1.32,25.57,24.51,8.16,6.58,,2.9,8.11,20.21,7.25,6.81,,215,1043,401,331,1.82,3.37,0.84,17.54,
B,7,N,13,37.3,39,1.2,17.77,16.55,8.12,3.89,,2.69,5.52,14.24,7.4,3.95,,222,1074,388,334,1.55,2.81,0.66,13.96,
B,8,N,15,38.3,39.6,1.47,20.08,19.08,7.84,6.36,,3.09,6.53,16.74,7.33,6.93,,208,1052,390,342,2.27,3.72,0.49,12.26,
B,9,N,12,31.3,29.5,1.28,12.28,11.61,8.61,5.61,,2.82,3.64,9.47,7.85,6.36,,237,1058,384,314,1.73,3.06,0.73,18.43,
B,10,N,43,38.9,36.2,1.34,18.57,17.95,8.4,7.83,,2.99,5.42,15.09,7.77,8.12,,243,1035,359,302,1.86,3.21,0.58,15.93,
B,11,N,15,35.4,41.3,1.3,23.71,22.12,8.07,5.42,,2.86,7.36,18.9,7.52,6.15,,222,1072,389,333,1.81,3.19,0.54,14.56,
B,12,N,28,39.1,39.7,1.36,15.49,15,8.21,9.17,,3.09,4.75,12.7,6.03,9.23,,226,1033,374,317,1.91,3.57,2.00,15.33,
B,13,N,18,39.4,38.1,1.43,17.25,17.1,7.12,6.96,,2.93,6.06,15.05,6.46,8.41,,185,1009,403,354,2.06,3.46,0.77,11.99,
B,14,N,31,42.1,41.5,1.43,22.97,21.55,8.16,7.43,,3.05,7.59,18.78,7.52,8.11,,203,1066,404,352,2.18,3.76,0.62,12.85,
B,15,N,30,39.1,36.8,1.22,20.77,21.58,8.16,7.98,,2.72,6.73,18.97,7.15,9.3,,209,962,355,312,1.43,2.62,1.04,12.09,
B,16,N,30,34.2,33.8,1.13,13.23,13.87,8.03,6.92,,2.57,4.01,11.9,6.86,7.76,,230,954,337,289,1.22,2.23,1.12,14.20,
B,17,N,23,38.5,39.9,1.09,20.13,19.64,8.07,4.04,,2.39,6.84,16.76,6.72,6.3,,194,1025,408,348,1.22,2.33,1.60,14.66,
B,18,N,12,33.7,32.9,1.34,18.33,17.22,7.21,5.17,,2.96,5.55,14.6,6.58,7.28,,230,1064,380,322,1.91,3.33,0.91,15.21,
B,19,N,38,37.9,37,1.24,16.18,16.12,8.99,7.5,,2.71,5.43,13.6,7.86,8.77,,198,1004,399,337,1.54,2.93,1.13,15.63,
B,20,N,31,42.8,45.5,1.47,24.88,23.45,9.44,6.96,,3.02,8.23,20.25,8.37,7.49,,202,1061,406,351,2.29,3.71,0.99,13.65,
B,21,N,28,34.3,30.6,1.13,11.97,12.1,8.72,3.26,,2.46,3.86,10.54,7.85,3.91,,210,989,366,319,1.26,2.22,0.82,12.89,
B,22,N,23,40.2,43.4,1.07,24,23.08,7.43,3.9,,2.49,7.62,18.94,6.08,5.78,,215,1040,402,330,1.19,2.49,1.53,17.94,
B,23,N,18,35.8,39.1,1.36,13.15,13.1,8.23,7.08,,2.82,4.7,11.54,7.63,7.25,,180,1004,407,359,1.86,3.24,0.55,11.91,
B,24,N,45,41.8,43.4,1.15,24.55,23.69,8.12,6.09,,2.61,7.61,20.47,6.82,5.93,,223,1036,372,321,1.37,2.53,1.20,13.59,
B,25,N,30,35,30.7,1.13,14.99,15.04,8.5,6.15,,2.53,4.62,13.21,7.3,7.02,,224,997,350,307,1.27,2.24,1.15,12.17,
B,26,N,13,35.9,34.9,1.22,12.51,11.85,8.27,6.13,,2.84,3.67,10.03,7.68,7.27,,241,1056,366,310,1.57,2.95,0.62,15.36,
